year,month,area,rain
1990,1,108,62.2
1990,2,108,64.8
1990,3,108,92.3
1990,4,108,94.2
1990,5,108,122.8
1990,6,108,497.2
1990,7,108,486.5
1990,8,108,283.5
1990,9,108,570.1
1990,10,108,0
1990,11,108,56
1990,12,108,25.9
1991,1,108,14.4
1991,2,108,28.4
1991,3,108,65.5
1991,4,108,48.5
1991,5,108,83.2
1991,6,108,81.8
1991,7,108,487.8
1991,8,108,68.2
1991,9,108,175.2
1991,10,108,27.3
1991,11,108,35
1991,12,108,42.9
1992,1,108,13.6
1992,2,108,46.6
1992,3,108,11.2
1992,4,108,76.5
1992,5,108,155.5
1992,6,108,99.6
1992,7,108,270.1
1992,8,108,418.8
1992,9,108,168.5
1992,10,108,33.6
1992,11,108,89.5
1992,12,108,71.4
1993,1,108,2.2
1993,2,108,69.5
1993,3,108,29.2
1993,4,108,85.5
1993,5,108,135.7
1993,6,108,198.2
1993,7,108,424.4
1993,8,108,197.8
1993,9,108,56.1
1993,10,108,15.4
1993,11,108,66.6
1993,12,108,12.1
1994,1,108,6.5
1994,2,108,14.8
1994,3,108,31.7
1994,4,108,44.9
1994,5,108,152.4
1994,6,108,85
1994,7,108,139.5
1994,8,108,232.7
1994,9,108,60.7
1994,10,108,214.5
1994,11,108,49.6
1994,12,108,23.5
1995,1,108,11.6
1995,2,108,5.2
1995,3,108,60.6
1995,4,108,44.4
1995,5,108,60.6
1995,6,108,70.7
1995,7,108,436.1
1995,8,108,786.6
1995,9,108,47.2
1995,10,108,39.3
1995,11,108,32.9
1995,12,108,3.4
1996,1,108,16.3
1996,2,108,1
1996,3,108,77.9
1996,4,108,62
1996,5,108,29.3
1996,6,108,249.7
1996,7,108,512.8
1996,8,108,132.4
1996,9,108,11
1996,10,108,90.3
1996,11,108,62.9
1996,12,108,11
1997,1,108,16.8
1997,2,108,39.6
1997,3,108,25.3
1997,4,108,56.1
1997,5,108,291.3
1997,6,108,110
1997,7,108,299.6
1997,8,108,117.2
1997,9,108,76.9
1997,10,108,45.5
1997,11,108,93.8
1997,12,108,38.1
1998,1,108,10.4
1998,2,108,32.3
1998,3,108,45.1
1998,4,108,120.2
1998,5,108,121.5
1998,6,108,234.1
1998,7,108,311.8
1998,8,108,1237.8
1998,9,108,177.9
1998,10,108,27.4
1998,11,108,26.9
1998,12,108,3.7
1999,1,108,10.2
1999,2,108,2.9
1999,3,108,55
1999,4,108,97.2
1999,5,108,109.7
1999,6,108,131.8
1999,7,108,230.4
1999,8,108,600.5
1999,9,108,377.3
1999,10,108,81.6
1999,11,108,19.5
1999,12,108,17
2000,1,108,42.8
2000,2,108,2.1
2000,3,108,3.1
2000,4,108,30.7
2000,5,108,75.2
2000,6,108,68.1
2000,7,108,114.7
2000,8,108,599.4
2000,9,108,178.5
2000,10,108,18.1
2000,11,108,27.1
2000,12,108,27
2001,1,108,39.4
2001,2,108,45.7
2001,3,108,18.1
2001,4,108,12.3
2001,5,108,16.5
2001,6,108,157.4
2001,7,108,698.4
2001,8,108,252
2001,9,108,49.3
2001,10,108,68.2
2001,11,108,13
2001,12,108,15.7
2002,1,108,37.4
2002,2,108,2.4
2002,3,108,31.5
2002,4,108,155.1
2002,5,108,58
2002,6,108,61.4
2002,7,108,220.6
2002,8,108,688
2002,9,108,61.1
2002,10,108,45
2002,11,108,12.5
2002,12,108,15
2003,1,108,14.1
2003,2,108,39.6
2003,3,108,26.8
2003,4,108,139.6
2003,5,108,106
2003,6,108,156
2003,7,108,469.8
2003,8,108,684.2
2003,9,108,258.2
2003,10,108,41.5
2003,11,108,69.3
2003,12,108,6.9
2004,1,108,19.8
2004,2,108,54.6
2004,3,108,27.6
2004,4,108,74.1
2004,5,108,168.5
2004,6,108,138.1
2004,7,108,510.7
2004,8,108,193.3
2004,9,108,198.7
2004,10,108,6.5
2004,11,108,80
2004,12,108,27.2
2005,1,108,4.5
2005,2,108,17.2
2005,3,108,12.5
2005,4,108,94.7
2005,5,108,85.8
2005,6,108,168.5
2005,7,108,269.4
2005,8,108,285
2005,9,108,313.3
2005,10,108,52.6
2005,11,108,44.6
2005,12,108,10.3
2006,1,108,34.3
2006,2,108,15.7
2006,3,108,14
2006,4,108,51.8
2006,5,108,156.2
2006,6,108,168.5
2006,7,108,1014
2006,8,108,121.2
2006,9,108,11.1
2006,10,108,30.2
2006,11,108,47.6
2006,12,108,17.3
2007,1,108,10.8
2007,2,108,12.6
2007,3,108,123.5
2007,4,108,41.1
2007,5,108,137.6
2007,6,108,54.5
2007,7,108,274.1
2007,8,108,237.6
2007,9,108,241.9
2007,10,108,39.5
2007,11,108,26.4
2007,12,108,12.7
2008,1,108,17.7
2008,2,108,15
2008,3,108,53.9
2008,4,108,38.5
2008,5,108,97.7
2008,6,108,165
2008,7,108,530.8
2008,8,108,251.2
2008,9,108,99.2
2008,10,108,41.8
2008,11,108,19.6
2008,12,108,25.9
2009,1,108,5.7
2009,2,108,36.9
2009,3,108,63.9
2009,4,108,66.5
2009,5,108,109
2009,6,108,132
2009,7,108,659.4
2009,8,108,285.3
2009,9,108,64.5
2009,10,108,66.9
2009,11,108,52.4
2009,12,108,21.5
2010,1,108,29.3
2010,2,108,55.3
2010,3,108,82.5
2010,4,108,62.8
2010,5,108,124
2010,6,108,127.6
2010,7,108,239.2
2010,8,108,598.7
2010,9,108,671.5
2010,10,108,25.6
2010,11,108,10.9
2010,12,108,16.1
2011,1,108,8.9
2011,2,108,29.1
2011,3,108,14.6
2011,4,108,110.1
2011,5,108,53.4
2011,6,108,404.5
2011,7,108,1131
2011,8,108,166.8
2011,9,108,25.6
2011,10,108,32
2011,11,108,56.2
2011,12,108,7.1
2012,1,108,6.7
2012,2,108,0.8
2012,3,108,47.4
2012,4,108,157
2012,5,108,8.2
2012,6,108,91.9
2012,7,108,448.9
2012,8,108,464.9
2012,9,108,212
2012,10,108,99.3
2012,11,108,67.8
2012,12,108,41.4
2013,1,108,22.1
2013,2,108,74.1
2013,3,108,27.3
2013,4,108,71.7
2013,5,108,132
2013,6,108,28.3
2013,7,108,676.2
2013,8,108,148.6
2013,9,108,138.5
2013,10,108,13.5
2013,11,108,46.8
2013,12,108,24.7
2014,1,108,13
2014,2,108,16.2
2014,3,108,7.2
2014,4,108,31
2014,5,108,63
2014,6,108,98.1
2014,7,108,207.9
2014,8,108,172.8
2014,9,108,88.1
2014,10,108,52.2
2014,11,108,41.5
2014,12,108,17.9
2015,1,108,11.3
2015,2,108,22.7
2015,3,108,9.6
2015,4,108,80.5
2015,5,108,28.9
2015,6,108,99
2015,7,108,226
2015,8,108,72.9
2015,9,108,26
2015,10,108,81.5
2015,11,108,104.6
2015,12,108,29.1
2016,1,108,1
2016,2,108,47.6
2016,3,108,40.5
2016,4,108,76.8
2016,5,108,160.5
2016,6,108,54.4
2016,7,108,358.2
2016,8,108,67.1
2016,9,108,33
2016,10,108,74.8
2016,11,108,16.7
2016,12,108,61.1
2017,1,108,14.9
2017,2,108,11.1
2017,3,108,7.9
2017,4,108,61.6
2017,5,108,16.1
2017,6,108,66.6
2017,7,108,621
2017,8,108,297
2017,9,108,35
2017,10,108,26.5
2017,11,108,40.7
2017,12,108,34.8
2018,1,108,8.5
2018,2,108,29.6
2018,3,108,49.5
2018,4,108,130.3
2018,5,108,222
2018,6,108,171.5
2018,7,108,185.6
2018,8,108,202.6
2018,9,108,68.5
2018,10,108,120.5
2018,11,108,79.1
2018,12,108,16.4
2019,1,108,0
2019,2,108,23.8
2019,3,108,26.8
2019,4,108,47.3
2019,5,108,37.8
2019,6,108,74
2019,7,108,194.4
2019,8,108,190.5
2019,9,108,139.8
2019,10,108,55.5
2019,11,108,78.8
2019,12,108,22.6
2020,1,108,60.5
2020,2,108,53.1
2020,3,108,16.3
2020,4,108,16.9
2020,5,108,112.4
2020,6,108,139.6
2020,7,108,270.4
2020,8,108,675.7
2020,9,108,181.5
2020,10,108,0
2020,11,108,120.1
2020,12,108,4.6
2021,1,108,18.9
2021,2,108,7.1
2021,3,108,110.9
2021,4,108,124.1
2021,5,108,183.1
2021,6,108,104.6
2021,7,108,168.3
2021,8,108,211.2
2021,9,108,131
2021,10,108,57
2021,11,108,62.4
2021,12,108,7.9
2022,1,108,5.5
2022,2,108,4.7
2022,3,108,102.6
2022,4,108,20.4
2022,5,108,7.5
2022,6,108,393.8
2022,7,108,252.3
2022,8,108,564.8
2022,9,108,201.5
2022,10,108,124.1
2022,11,108,84.5
2022,12,108,13.6
